Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,-3.9426,1.9679,-4.8201,-3.8074,-13.6830,3.9855,-4.2406,-3.9279,-6.5537,-0.0272,-3.5752,1.0030,-9.6636,-6.1461,-4.1065,-0.0294,-10.1830,-1.7777,-5.3261
3.9062,-2.1911,1.9811,-1.9422,-1.0924,-8.3851,2.9885,-4.4824,-1.6399,-3.6437,1.8604,-1.5640,2.4468,-5.8400,-3.6413,-1.5195,1.9674,-6.4319,-0.0702,-2.3506
7.8125,-0.6560,2.2153,1.5335,3.1722,-1.0252,2.2163,-4.1854,2.3832,-0.1250,4.3289,0.3006,3.9591,-1.0889,0.7192,1.2869,4.3475,-2.0764,2.3708,1.2114
11.7188,0.1334,2.7627,3.8594,8.0167,6.7795,2.2182,-3.5179,7.4997,3.1111,6.7537,0.9087,5.1263,3.4995,6.3096,2.4943,6.2616,1.7705,5.0953,3.7171
15.6250,0.1487,3.5480,3.5235,12.1577,13.2107,3.1328,-2.9811,12.5840,5.3752,8.5525,-0.3664,5.5944,6.9812,11.9878,0.6976,6.8571,4.3594,7.6242,3.7340
19.5312,-0.0533,4.2122,0.2269,14.6747,17.1616,4.4661,-3.1178,16.5654,6.5174,9.4468,-3.2609,5.1675,9.0268,16.6276,-4.0869,5.7447,5.7266,9.6438,0.9463
23.4375,0.3299,4.1388,-4.8200,15.4517,18.7400,5.2788,-4.1634,18.9061,6.8877,9.4833,-6.7819,3.8547,10.0090,19.6197,-10.2346,3.2508,6.6206,11.0166,-3.5526
27.3438,1.7684,2.6962,-9.5259,15.1035,19.0521,4.7077,-5.8701,19.7329,6.9632,8.8293,-9.8277,1.8730,10.6589,21.0456,-15.3616,0.2698,7.9701,11.6444,-7.8155
31.2500,3.9783,-0.3838,-12.0858,14.4620,19.4104,2.4901,-7.6188,19.5801,6.9441,7.5427,-11.8265,-0.3919,11.5342,21.4506,-17.6985,-2.2145,10.2455,11.3612,-10.1165
35.1562,5.9964,-4.7068,-11.9388,14.0016,20.4780,-0.8745,-8.7484,18.9606,6.6471,5.5364,-12.9346,-2.4720,12.6639,21.3953,-17.0764,-3.6394,13.1357,10.0137,-9.8686
39.0625,6.7709,-9.2326,-9.9200,13.5976,21.8895,-4.4518,-8.8918,18.0622,5.7973,2.7900,-13.6738,-3.9524,13.6077,21.0810,-14.8628,-4.0769,15.7485,7.7089,-7.8152
42.9688,5.9141,-12.6784,-7.5627,12.7513,22.5698,-7.4695,-8.1216,16.7475,4.4918,-0.3710,-14.3129,-4.6217,13.8706,20.2576,-12.9162,-4.0338,17.1853,5.0099,-5.4229
46.8750,4.0957,-14.1309,-6.0642,11.0756,21.5219,-9.7650,-6.8357,14.8020,3.4369,-3.2019,-14.4908,-4.5720,13.3577,18.4272,-12.3107,-4.0118,17.0980,2.8429,-3.9184
50.7812,2.7511,-13.5151,-5.6008,8.6701,18.5664,-11.7685,-5.4800,12.2204,3.6991,-4.8151,-13.3879,-4.1814,12.5286,15.1819,-12.7146,-4.1765,15.8662,2.0710,-3.6035
54.6875,3.2305,-11.6208,-5.3782,6.1312,14.5683,-14.0475,-4.2889,9.3296,6.0673,-4.6702,-10.3266,-3.9602,12.1271,10.4858,-12.7952,-4.3785,14.3127,2.9760,-3.8324
58.5938,5.9207,-9.6471,-4.2822,4.2283,11.0294,-16.7589,-3.1909,6.6843,10.4435,-2.9370,-5.3507,-4.3163,12.6788,4.7867,-11.2718,-4.4802,13.1880,5.0243,-3.5651
62.5000,9.9368,-8.5365,-1.6326,3.5005,9.3182,-19.4223,-1.9083,4.8273,15.7204,-0.4401,0.6513,-5.3516,14.1216,-1.0462,-7.8008,-4.6753,12.7939,7.1423,-2.0548
66.4062,13.6281,-8.5087,2.4376,4.0395,10.0123,-21.1843,-0.1666,4.0595,20.2987,1.8264,6.3718,-6.7931,15.8524,-5.9114,-3.0799,-5.4748,12.9794,8.3710,0.7794
70.3125,15.5973,-9.0742,7.1292,5.5436,12.7263,-21.3805,2.1199,4.3270,22.9610,3.2942,10.7567,-8.0991,17.1747,-8.7436,1.8019,-7.2977,13.4577,8.4681,4.4510
74.2188,15.5621,-9.4841,11.4472,7.5246,16.4748,-19.9862,4.7912,5.2488,23.5465,4.1046,13.4666,-8.6906,17.8326,-8.8225,6.1706,-9.9524,14.1616,8.0236,8.2949
78.1250,14.4726,-9.2867,14.6575,9.4862,20.2994,-17.6400,7.5286,6.2575,22.9760,4.8607,14.8589,-8.2004,18.2401,-6.0510,10.0738,-12.4486,15.3490,7.9799,11.8253
82.0312,13.7910,-8.6059,16.5059,10.9905,23.7550,-15.2435,10.0268,6.8073,22.5958,6.0159,15.5854,-6.6243,19.2109,-1.0846,13.8960,-13.3951,17.3716,8.8788,14.8526
85.9375,14.4197,-7.9687,17.1921,11.6674,26.9764,-13.4363,12.1409,6.5914,23.2617,7.3511,16.1429,-4.3123,21.3478,4.8003,17.6845,-11.8102,20.2869,10.3710,17.3795
89.8438,16.0184,-7.8333,17.2144,11.2694,30.3310,-12.3101,13.9216,5.6845,24.7634,7.9513,16.6803,-1.8089,24.5048,10.1091,20.8183,-7.8314,23.6180,11.3562,19.4418
93.7500,17.1928,-8.1739,17.1778,9.7901,33.9314,-11.5199,15.5134,4.5180,25.9655,6.7438,17.1066,0.3841,27.7160,13.6599,22.3493,-2.8010,26.4706,10.6745,21.0335
97.6562,16.4434,-8.4273,17.5851,7.5476,37.3592,-10.6566,16.9784,3.6541,25.5699,3.2522,17.3091,2.0133,29.6870,14.9974,21.7681,1.4055,27.9729,7.8807,22.1283
